time	Vg	Id(=Ig)	Ig(=Id)
0.537604	-0.800054	6.58716e-05	4.32633e-06
0.6364132	-0.800053	6.64891e-05	6.87236e-07
0.7110316	-0.800053	6.71622e-05	5.42035e-07
0.847092	-0.800055	6.78342e-05	4.51489e-07
0.9697062	-0.800054	6.84218e-05	3.8918e-07
1.0864212	-0.800053	6.89577e-05	3.47642e-07
1.2242275	-0.800054	6.94682e-05	3.16599e-07
1.3573805	-0.800054	6.99513e-05	2.88591e-07
1.4704665	-0.800054	7.03901e-05	2.6869e-07
2.219934	-0.800054	7.1696e-05	2.18652e-07
2.0933985	-0.800054	7.21142e-05	2.08148e-07
2.2071735	-0.800055	7.25152e-05	1.96366e-07
2.3148964	-0.800057	7.28128e-05	1.8894e-07
2.4842983	-0.800056	7.31272e-05	1.82174e-07
2.5862704	-0.800055	7.34348e-05	1.74369e-07
2.7558912	-0.800055	7.37389e-05	1.69135e-07
2.845858	-0.800057	7.40233e-05	1.63262e-07
2.9554189	-0.800055	7.42598e-05	1.58611e-07
3.108111	-0.800053	7.45353e-05	1.53709e-07
3.2275064	-0.800054	7.47798e-05	1.49792e-07
3.3473067	-0.800055	7.50192e-05	1.468e-07
3.4731823	-0.800053	7.5245e-05	1.43472e-07
3.6031936	-0.800053	7.54839e-05	1.40041e-07
3.7509179	-0.800055	7.57076e-05	1.36137e-07
3.8366032	-0.800053	7.59218e-05	1.33339e-07
3.9586	-0.800053	7.61163e-05	1.30452e-07
4.1265139	-0.800053	7.63522e-05	1.27776e-07
4.239336	-0.800053	7.65583e-05	1.2521e-07
4.367002	-0.800054	7.6766e-05	1.2254e-07
4.4929602	-0.800054	7.69606e-05	1.20503e-07
4.6121458	-0.800054	7.71464e-05	1.18353e-07
4.769407	-0.800055	7.73584e-05	1.15906e-07
4.8822707	-0.800055	7.75308e-05	1.13985e-07
4.9904693	-0.800055	7.77086e-05	1.12392e-07
5.1096754	-0.800054	7.78666e-05	1.10647e-07
5.2698239	0.0999284	1.76021e-05	7.68532e-06
5.4159277	0.0999286	1.5329e-05	1.08739e-06
5.5714988	0.099929	1.49002e-05	3.04022e-07
5.684592	0.0999295	1.47751e-05	1.62806e-07
5.7935025	0.0999303	1.47049e-05	1.06633e-07
6.0489613	0.0999301	1.46461e-05	3.87736e-08
6.1247389	0.0999301	1.46201e-05	3.49376e-08
6.2853326	0.0999311	1.46008e-05	3.24634e-08
6.4010615	0.0999281	1.45828e-05	3.06527e-08
6.534235	0.0999274	1.45694e-05	2.90775e-08
6.694863	0.0999294	1.45589e-05	2.81024e-08
6.8083809	0.0999292	1.45484e-05	2.75591e-08
6.9713659	0.0999281	1.45414e-05	2.68547e-08
7.1185508	0.0999273	1.45342e-05	2.65132e-08
7.2108358	0.0999266	1.45272e-05	2.59529e-08
7.3476269	0.0999273	1.45221e-05	2.56628e-08
7.4797739	0.0999275	1.45162e-05	2.53773e-08
7.6421405	0.0999279	1.45114e-05	2.49409e-08
7.760473	0.0999276	1.45065e-05	2.49275e-08
7.8847024	0.0999269	1.4502e-05	2.44273e-08
8.0255316	0.0999267	1.44976e-05	2.44186e-08
8.184551	0.099928	1.4494e-05	2.39819e-08
8.3182817	-0.800054	8.15883e-05	7.29232e-06
8.4398035	-0.800054	7.72281e-05	1.23984e-06
8.6115388	-0.800052	7.71952e-05	4.78774e-07
8.7229787	-0.800054	7.75138e-05	3.332e-07
8.881566	-0.800054	7.78648e-05	2.69783e-07
8.9962283	-0.800053	7.82147e-05	2.30945e-07
9.1290423	-0.800052	7.84924e-05	2.05597e-07
9.2582783	-0.800052	7.87877e-05	1.87144e-07
9.3843023	-0.800053	7.90379e-05	1.71831e-07
9.5031898	-0.800052	7.92637e-05	1.61343e-07
9.6523544	-0.800051	7.94973e-05	1.52066e-07
9.7568644	-0.800051	7.97105e-05	1.44114e-07
9.9280573	-0.800052	7.9916e-05	1.37272e-07
10.0250181	-0.800051	8.01236e-05	1.30517e-07
10.1511292	-0.800051	8.03037e-05	1.25868e-07
10.2852175	-0.80005	8.04732e-05	1.21369e-07
10.4109233	-0.80005	8.06572e-05	1.16871e-07
10.5344375	-0.800051	8.08166e-05	1.13598e-07
10.653167	-0.800053	8.09743e-05	1.10551e-07
10.7937433	-0.800053	8.11314e-05	1.07607e-07
10.9201543	-0.800052	8.12923e-05	1.04412e-07
11.0285163	-0.800053	8.14285e-05	1.02317e-07
11.2954664	-0.800051	8.16405e-05	2.53205e-08
11.3548644	-0.80005	8.17848e-05	2.42779e-08
11.4717436	-0.800049	8.19158e-05	2.31073e-08
11.6107017	-0.800048	8.20521e-05	2.28139e-08
11.7359417	-0.800048	8.21821e-05	2.12228e-08
11.864021	-0.800048	8.23114e-05	2.10791e-08
11.9854304	-0.800047	8.24346e-05	2.00185e-08
12.1114818	-0.800048	8.2553e-05	1.91745e-08
12.2392347	-0.800048	8.26768e-05	1.89001e-08
12.3398037	-0.800048	8.2784e-05	1.7892e-08
12.4803882	-0.800048	8.28949e-05	1.76719e-08
12.5960111	-0.800049	8.30063e-05	1.70507e-08
12.7139096	-0.800047	8.31129e-05	1.6375e-08
12.8363018	-0.800048	8.3217e-05	1.6054e-08
13.0440145	-0.80005	8.33239e-05	1.48972e-08
13.1185091	-0.800049	8.3452e-05	1.50729e-08
13.2189747	-0.800049	8.35492e-05	1.42201e-08
13.417902	0.099932	1.74957e-05	7.8364e-06
13.4970961	0.0999333	1.56595e-05	1.20093e-06
13.6572488	0.0999324	1.52009e-05	3.52477e-07
13.7775547	0.0999311	1.50544e-05	1.88601e-07
13.8758935	0.0999307	1.49745e-05	1.27539e-07
14.1317904	0.0999313	1.4909e-05	4.33892e-08
14.2168205	0.099931	1.48789e-05	3.94141e-08
14.3407763	0.0999301	1.48569e-05	3.66276e-08
14.4737666	0.0999288	1.48393e-05	3.4545e-08
14.5876589	0.0999304	1.4826e-05	3.30885e-08
14.7036144	0.0999306	1.48151e-05	3.21117e-08
